"Month,First_Expression,Review,Rating,Bert_sentiment,distilbert_sentiment"
"""Oct, 2022"",Terrific,Wow So good,5,5,Positive"
"6 months ago,Fabulous!,Veri good product,5,5,Positive"
"""Oct, 2022"",Mind-blowing purchase,Superb,5,5,Positive"
"""Oct, 2022"",Great product,Awesome,5,5,Positive"
"6 months ago,Wonderful,Received Goods sealed pack,5,5,Positive"
"""Oct, 2022"",Terrific purchase,Good,5,5,Positive"
"6 months ago,Mind-blowing purchase,It.a good,5,4,Positive"
"6 months ago,Mind-blowing purchase,Use super mass,5,5,Positive"
"6 months ago,Great product,Osm,5,5,Positive"
"6 months ago,Hated it!,Poor work flipkart,1,1,Negative"
"6 months ago,Must buy!,""One of the compact and good smartphones is that everything is a great camera, performance and battery"",5,5,Positive"
"""Oct, 2022"",Excellent,Nice phone,5,5,Positive"
"6 months ago,Best in the market!,""1yr of pleasant experience , extraordinary camera and performance. Maintaining the battery health is a task."",5,5,Positive"
"""Oct, 2022"",Really Nice,I love iPhone 13 and wow🫶,5,5,Positive"
"""Oct, 2022"",Nice product,Super,4,5,Positive"
"6 months ago,Absolute rubbish!,Mobile gets heatedBattery back up not good,1,1,Negative"
"6 months ago,Mind-blowing purchase,Very nice mobile but battery life not good,5,3,Negative"
"""Oct, 2022"",Simply awesome,Very best and good product,5,5,Positive"
"6 months ago,Simply awesome,osm,5,5,Positive"
"6 months ago,Fabulous!,Excellent Product,5,5,Positive"
"6 months ago,Must buy!,Nice quality,5,5,Positive"
"""Oct, 2022"",Unsatisfactory,""Worst Camera quality:1. Very bad in low light selfie camera.2. Looks like 10k phone camera, even my last phone camera realme 7 pro was best."",1,1,Negative"
"6 months ago,Super!,Happy with Flipkart shopping ❤️,5,5,Positive"
"6 months ago,Must buy!,excellent,5,5,Positive"
"6 months ago,Brilliant,Excellent,5,5,Positive"
"""Oct, 2022"",Mind-blowing purchase,Superb phone,5,5,Positive"
"6 months ago,Must buy!,Really liked the product!,5,5,Positive"
"6 months ago,Worth every penny,Its good,5,5,Positive"
"""Sep, 2022"",Great product,Value for money,5,5,Positive"
"6 months ago,Excellent,Good,5,5,Positive"
"6 months ago,Terrific purchase,""No doubt, it's awesome choice."",5,5,Positive"
"6 months ago,Super!,Nice one,5,5,Positive"
"6 months ago,Terrific,Iphone Best Smartphone,5,5,Positive"
"6 months ago,Fair,Device was overall good but the delivery person was not so good. He is not ready to do open box delivery not good experience with delivery boy,3,3,Negative"
"6 months ago,Nice,Good,4,4,Positive"
"6 months ago,Best in the market!,Awesome,5,5,Positive"
"6 months ago,Worth every penny,Super good quality products,5,5,Positive"
"6 months ago,Mind-blowing purchase,Very Good Product,5,5,Positive"
"6 months ago,Terrific purchase,Superb Mobile i love it,5,5,Positive"
"6 months ago,Brilliant,Good,5,5,Positive"
"6 months ago,Wonderful,Very good product,4,5,Positive"
"6 months ago,Great product,Just go for it cause after 10 months of purchase it work smoothly like new iPhone 13 is better than iphone 14 but its pro series are beasts,5,5,Negative"
"""Oct, 2022"",Not good,""Dumb phone. I bought this just because of its small size, water proof and tough build."",2,1,Negative"
"""Oct, 2022"",Super!,Superb upgraded from 11 to 13iPhone is the best,5,5,Positive"
"6 months ago,Classy product,Good,5,4,Positive"
"6 months ago,Mind-blowing purchase,Nice,5,5,Positive"
"6 months ago,Perfect product!,Very Good quality,5,5,Positive"
"6 months ago,Awesome,Awesome product no one others,5,5,Neutral"
"""Oct, 2022"",Highly recommended,Good 😊 phone in this price,5,5,Positive"
"6 months ago,Perfect product!,Good product valuable to money,5,5,Positive"
"6 months ago,Great product,Nice design and great performance,5,5,Positive"
"""Oct, 2022"",Good quality product,Good,4,4,Positive"
"6 months ago,Simply awesome,worth money 😊,5,5,Positive"
"6 months ago,Highly recommended,Superb 🔥,5,5,Positive"
"""Oct, 2022"",Classy product,Very good,5,5,Positive"
"""Oct, 2022"",Terrific purchase,Super,5,5,Positive"
"6 months ago,Fabulous!,Attractive phone,5,5,Positive"
"6 months ago,Decent product,Very good product and good discount by Flipkart but good to buy warranty too along with it,5,4,Positive"
"6 months ago,Great product,Very attractive...love to use this one😍,5,5,Positive"
"6 months ago,Perfect product!,Nothing to hate! Absolutely loving it.,5,5,Positive"
"6 months ago,Just wow!,""Great product, one can consider it for buying. Camera quality is awesome"",5,5,Positive"
"6 months ago,Super!,Very good 😊,5,5,Positive"
"6 months ago,Terrific,Lovely dreams comes true,5,5,Positive"
"6 months ago,Very Good,Always Osm.,4,5,Positive"
"6 months ago,Super!,Original product I got from Flipkart,5,5,Positive"
"6 months ago,Awesome,FantasticLooking so slim n lovely body panel 😍,5,5,Positive"
"6 months ago,Awesome,Amazing productThank u FlipkartVery fast delivery,5,5,Positive"
"6 months ago,Worth every penny,Very good phone recommended!!!,5,5,Positive"
"6 months ago,Great product,good,5,5,Positive"
"""Oct, 2022"",Delightful,Good,4,5,Positive"
"6 months ago,Great product,Happy 🤍,5,5,Positive"
"6 months ago,Great product,Awesome,5,5,Positive"
"6 months ago,Just wow!,Good,5,5,Positive"
"6 months ago,Simply awesome,Super value for money,5,5,Positive"
"6 months ago,Wonderful,Does the job but abit costly..Would have preferred if the display and battery was slightly better.,4,4,Positive"
"6 months ago,Good choice,Good one,4,4,Positive"
"6 months ago,Not good,Flickering in screen and getting small electrical shocks when touching phone during charging,2,1,Negative"
"6 months ago,Highly recommended,Very nice,5,5,Positive"
"6 months ago,Highly recommended,Best,5,5,Positive"
"6 months ago,Awesome,I love this mobile.,5,5,Positive"
"6 months ago,Classy product,Outstanding,5,5,Positive"
"6 months ago,Mind-blowing purchase,Good product,5,4,Positive"
"6 months ago,Good quality product,Late delivery but everything alright,4,4,Positive"
"6 months ago,Wonderful,good,5,5,Positive"
"6 months ago,Must buy!,""It was my perfect choice , amazing camera quality ."",5,5,Positive"
"6 months ago,Perfect product!,Good,5,5,Positive"
"6 months ago,Wonderful,First iphone of my life and i must say seamless experience,4,5,Positive"
"6 months ago,Mind-blowing purchase,Nice,5,5,Positive"
"6 months ago,Awesome,Nice,5,5,Positive"
"6 months ago,Just wow!,Awesome phoneBut low screen refresh rateCamera is good but there must be enhancement in night mode and while zooming,5,4,Positive"
"6 months ago,Super!,Great 👍🏻,5,5,Positive"
"6 months ago,Fair,Except 5G nothing new..better to buy iPhone 11,3,3,Neutral"
"6 months ago,Really Nice,Overall good.. battery backup is very poor. Those who are looking for iPhone please consider this🙏.this review is after 10 months of use..,4,4,Positive"
"""Oct, 2022"",Great product,Excellent,5,5,Positive"
"6 months ago,Classy product,Amazing pick at this price,5,5,Positive"
"6 months ago,Must buy!,I love it,5,5,Positive"
"6 months ago,Worth every penny,Satisfied,5,5,Positive"
"6 months ago,Brilliant,Camera Is Superb ✅✅✅,5,5,Positive"
"""Dec, 2022"",Must buy!,""nice one, should purchase the phone."",5,5,Positive"
"""Oct, 2022"",Worth the money,Good.,4,4,Positive"
"6 months ago,Awesome,Good,5,5,Positive"
"6 months ago,Fabulous!,Excellent.,5,5,Positive"
"6 months ago,Simply awesome,Overall nice,5,5,Positive"
"6 months ago,Pretty good,Good,4,4,Positive"
"6 months ago,Great product,Very nice mobile,5,5,Positive"
"6 months ago,Classy product,Super,5,5,Positive"
"6 months ago,Wonderful,The product was extremely good and quality was awesome and the camera was excellent.,5,5,Positive"
"6 months ago,Best in the market!,Product is very good👍,5,5,Positive"
"7 months ago,Awesome,Appreciable !,5,5,Positive"
"7 months ago,Decent product,Good,3,4,Positive"
"""Oct, 2022"",Excellent,Top class performance...loved it.,5,5,Positive"
"7 months ago,Classy product,Fabulous experience 😇,5,5,Positive"
"7 months ago,Terrific purchase,Beast,5,5,Positive"
"7 months ago,Simply awesome,""I love it bro, just simply amazing thing."",5,5,Positive"
"""Oct, 2022"",Classy product,So far so good. It's been 10 days.,5,5,Positive"
"7 months ago,Highly recommended,Good product,5,5,Positive"
"7 months ago,Brilliant,Good one,5,5,Positive"
"7 months ago,Brilliant,Awesome mobile,5,5,Positive"
"7 months ago,Mind-blowing purchase,Nice,5,5,Positive"
"""Oct, 2022"",Brilliant,The ultimate phone,5,5,Positive"
"7 months ago,Perfect product!,I phone 13 very good looking phone black colour is my favourite colour,5,5,Positive"
"7 months ago,Great product,All Ok,5,5,Positive"
"7 months ago,Classy product,Not required to review..... iPhone is enough...,5,4,Positive"
"7 months ago,Classy product,this is my first phone i purchased with my salary i love this phone its awesome performance and great full day battery backup and the performance of this phone is fabulous iphone 13 is my dream but i am saying one line is iphone 11 is very awesome fell and look wise as compare to iphone 13 seriously iphone 11 and 13 comparison wise 11 is much better than iphone 13 inhand iphone 13 is not good as comparing iphone 11 only one thing in iphone 11 is its 4g 😢,5,4,Negative"
"7 months ago,Wonderful,""cute looks,handy ad meets my requirement"",5,5,Positive"
"7 months ago,Classy product,Very good,5,5,Positive"
"7 months ago,Worth every penny,Good mobile under 50k,5,5,Positive"
"7 months ago,Terrific purchase,Ok,5,5,Positive"
"7 months ago,Awesome,Nice performance.Battery life also good if u use continuous it give 7 hours . Normal use it give 12 hours,5,5,Positive"
"7 months ago,Fabulous!,very good,5,5,Positive"
"7 months ago,Highly recommended,Best there is,5,5,Positive"
"7 months ago,Great product,Best,5,5,Positive"
"7 months ago,Perfect product!,Very good,5,5,Positive"
"7 months ago,Pretty good,Best mid phone out there only issue is the battery nothing else,4,4,Positive"
"""Dec, 2022"",Classy product,""Best phone ever, no competition other phone for this"",5,5,Positive"
"7 months ago,Must buy!,The product is very interested.,5,5,Positive"
"7 months ago,Must buy!,Good,5,5,Positive"
"""Oct, 2022"",Worth every penny,Excellent product,5,5,Positive"
"7 months ago,Perfect product!,Nice,5,5,Positive"
"7 months ago,Great product,Good,5,5,Positive"
"7 months ago,Brilliant,Nice Product,5,5,Positive"
"7 months ago,Highly recommended,It's an iPhone nothing to review 😅,5,5,Positive"
"7 months ago,Highly recommended,Best for ever,5,5,Positive"
"""Oct, 2022"",Terrific,""Excellent Smartphone, Before buying this I'm afraid of Battery backup. Bcz i had worst experience in iPhone batteries. But now I would say,1-Battery is outstanding, it long lasting stay 2-2.5days for normal usage2-Display is just Superb3-Dolby sound feels like watching movies in BigscreenOverall superb, no other phones beats this iPhone. 😍"",5,5,Negative"
"7 months ago,Good quality product,Good mobile,4,4,Positive"
"7 months ago,Pretty good,best phone but Phone is very worth,4,4,Positive"
"7 months ago,Must buy!,Good price,5,5,Positive"
"7 months ago,Simply awesome,Nice 🙂👍,5,5,Positive"
"7 months ago,Mind-blowing purchase,genuine product.worth every paisa.TRUSTED FLIPKART AND TRUSTED SELLER.,5,5,Positive"
"7 months ago,Simply awesome,Best in market,5,5,Positive"
"""Oct, 2022"",Best in the market!,Nice 👌,5,5,Positive"
"7 months ago,Perfect product!,Good,5,5,Positive"
"7 months ago,Highly recommended,Awesome mobile,5,5,Positive"
"7 months ago,Excellent,Oneplus 11 better camera than I-Phone 13😀😀😀,5,5,Positive"
"""Oct, 2022"",Awesome,Excellent,5,5,Positive"
"7 months ago,Good choice,Good,4,4,Positive"
"7 months ago,Good quality product,Good product,4,4,Positive"
"7 months ago,Best in the market!,Awesome product but battery backup can be more good.,5,4,Positive"
"""Dec, 2022"",Fabulous!,Apple product is Crystal clear profomance no one can say wrong about Apple product profomance and quality of build,5,5,Negative"
"7 months ago,Best in the market!,nice mobile exlent I am using first time ios using but my decision good mobile,5,5,Positive"
"""Oct, 2022"",Perfect product!,I love IPhone,5,5,Positive"
"7 months ago,Nice product,Good product nice to use,4,4,Positive"
"7 months ago,Just wow!,Osm,5,5,Positive"
"7 months ago,Good choice,Good product,4,4,Positive"
"7 months ago,Worth every penny,""Best ever purchase from flipkart, it's really a best phone , thanks flipkart."",5,5,Positive"
"7 months ago,Classy product,Nice,5,5,Positive"
"7 months ago,Brilliant,Superb,5,5,Positive"
"7 months ago,Perfect product!,All gud,5,5,Positive"
"""Oct, 2022"",Super!,Good,5,5,Positive"
"7 months ago,Excellent,Osm,5,5,Positive"
"7 months ago,Highly recommended,This is my second time buying iphone from flipkart it came original,5,5,Positive"
"7 months ago,Mind-blowing purchase,Its iphone you dont need a review for it...just buy it if you are having a budget around this much,5,1,Positive"
"7 months ago,Mind-blowing purchase,Amaizing,5,5,Positive"
"7 months ago,Worth every penny,Superb fone,5,5,Positive"
"7 months ago,Excellent,Amazing phone with amazing camera,5,5,Positive"
"7 months ago,Best in the market!,Best handy phone,5,5,Positive"
"7 months ago,Just wow!,Nice product.,5,5,Positive"
"7 months ago,Fair,Not a person who write reviews but the experience to buy I phone was smooth and phone is also original nothing to worry.,5,3,Neutral"
"7 months ago,Perfect product!,Very good,5,5,Positive"
"7 months ago,Classy product,Always iPhone is a best phone.,5,5,Positive"
"7 months ago,Really Nice,Camera good but only issue with phone is battery its just 5 and half hour,4,4,Positive"
"7 months ago,Simply awesome,Excellent night vision power in camera!!! Fill my heart!!!,5,5,Positive"
"7 months ago,Just wow!,Nice,5,5,Positive"
"7 months ago,Best in the market!,Awesome phone✌️😎,5,5,Positive"
"7 months ago,Super!,Good product,5,5,Positive"
"7 months ago,Decent product,I have some touch problems sometimes and bugs in multi touch. Hope this is a software issue,3,3,Negative"
"""Oct, 2022"",Fabulous!,Awesome Phone,5,5,Positive"
"7 months ago,Just wow!,Nice one,5,5,Positive"
"""Oct, 2022"",Terrific purchase,Just buy it,5,5,Positive"
"""Oct, 2022"",Nice product,Best camera best phone,4,5,Positive"
"7 months ago,Perfect product!,Everything is fine,5,5,Positive"
"7 months ago,Nice product,I like it,4,4,Positive"
"7 months ago,Best in the market!,Best deal .... If u need a iphone,5,5,Positive"
"7 months ago,Brilliant,Good,5,5,Positive"
"7 months ago,Classy product,Good,5,4,Positive"
"7 months ago,Hated it!,Terrible productDevice overheated and unable to on,1,1,Negative"
"7 months ago,Perfect product!,Amazing,5,5,Positive"
"7 months ago,Perfect product!,Very good experience to having I phone 📱,5,5,Positive"
"7 months ago,Awesome,Excellent phone ever for me,5,5,Positive"
"7 months ago,Just wow!,Made in India or Assembled in India iPhone 13,5,5,Positive"
"7 months ago,Pretty good,Value for money,4,4,Positive"
"7 months ago,Wonderful,Bast cemera,5,5,Positive"
"7 months ago,Classy product,Super i am so happy 🥰🥰🥰🥰thank you flipkart,5,5,Positive"
"7 months ago,Delightful,Nice ..,4,5,Positive"
"7 months ago,Just wow!,Very nice product,5,5,Positive"
"""Oct, 2022"",Perfect product!,Thank You Flipkart purchased in BBD got at affordable price,5,5,Positive"
"7 months ago,Awesome,Very stable and smooth with good battery life also comes with the same chip as iPhone 14 so good buy at a great price.,5,5,Positive"
"""Oct, 2022"",Awesome,Just awesome,5,5,Positive"
"7 months ago,Don't waste your money,back glass start cracking automaticaly,1,1,Negative"
"7 months ago,Classy product,great,5,5,Positive"
"7 months ago,Fair,hevy heating issue,3,4,Positive"
"7 months ago,Good quality product,Best product but should come with charger,4,4,Positive"
"""Sep, 2022"",Wonderful,Worth every penny,4,5,Positive"
"7 months ago,Wonderful,Grt product,5,5,Positive"
"7 months ago,Nice product,Nice mobile I am very happy 😃,4,5,Positive"
"""Dec, 2022"",Very Good,Good product,4,5,Positive"
"7 months ago,Mind-blowing purchase,""It is an osam product,I really liked it"",5,5,Positive"
"""Oct, 2022"",Awesome,I phone is best phone in the world and thanks flipkart,5,5,Positive"
"7 months ago,Simply awesome,Excellent product 😊😊,5,5,Positive"
"7 months ago,Nice product,as usual iphone good.. but i bought at costly price,4,4,Positive"
"""Oct, 2022"",Good quality product,Box is ok ok but phone is osm.,4,4,Positive"
"7 months ago,Perfect product!,excellent product,5,5,Positive"
"7 months ago,Highly recommended,Good,5,5,Positive"
"7 months ago,Super!,Product is good,5,5,Positive"
"7 months ago,Awesome,Best of my friends,5,5,Positive"
"7 months ago,Must buy!,over all good even batter life is good,5,5,Positive"
"7 months ago,Really Nice,""It's a great product, but Apple should think to change the design."",4,4,Positive"
"7 months ago,Must buy!,Always love,5,5,Positive"
"7 months ago,Must buy!,Iphone handset looks amazing 😍Perfect product!,5,5,Positive"
"7 months ago,Worth the money,Camera and battery is good,4,4,Positive"
"7 months ago,Brilliant,Good,5,5,Positive"
"7 months ago,Highly recommended,I phone is i phone.. Can't describe in words.. No one is in race with i phone,5,5,Positive"
"7 months ago,Just okay,product is awsome,1,3,Positive"
"""Oct, 2022"",Just wow!,Nice,5,5,Positive"
"7 months ago,Value-for-money,Best camera phone,4,5,Positive"
"7 months ago,Terrific purchase,Awesome phone I switch from Android to I phone it was awesome experience brilliant phone,5,5,Positive"
"""Oct, 2022"",Brilliant,Excellent,5,5,Positive"
"""Oct, 2022"",Terrific,Great!,5,5,Positive"
"7 months ago,Wonderful,Good,4,5,Positive"
"7 months ago,Fabulous!,Supper camera 📸 i❤️ iphone,5,5,Positive"
"7 months ago,Classy product,Love my Iphone..,5,5,Positive"
"7 months ago,Excellent,Changing from android to iPhone. I like it a lot and user interface is cool compared to android. May need some getting used to but definitely cool to use,4,5,Positive"
"7 months ago,Simply awesome,awesome experience,5,5,Positive"
"""Oct, 2022"",Mind-blowing purchase,just go with ios,5,1,Positive"
"7 months ago,Perfect product!,Nice product timely delivery thank u flipcart,5,5,Positive"
"7 months ago,Terrific,Awesome,5,5,Positive"
"7 months ago,Super!,Very nice,5,5,Positive"
"""Oct, 2022"",Perfect product!,""I'm satisfied with the products,Thank you flipkart"",5,5,Positive"
"7 months ago,Super!,""That's dream of my life ,.it's awesome experience,,,."",5,5,Positive"
"""Oct, 2022"",Worth every penny,Awesome,5,5,Positive"
"11 months ago,Best in the market!,Superb,5,5,Positive"
"7 months ago,Absolute rubbish!,Pls dnt buy any premium mobile in online u can't change anything,1,1,Negative"
"""Oct, 2022"",Worth every penny,Veryyy good only battery problem,5,4,Positive"
"""Oct, 2022"",Mind-blowing purchase,I really loved it 😍,5,5,Positive"
"7 months ago,Just wow!,2nd Iphone after Iphone 7. Still keeping a Samsung Note 20 as secondary phone. Switching from Android to IOS is tough.,5,5,Negative"
"7 months ago,Brilliant,Super mobile,5,5,Positive"
"7 months ago,Terrific,No one beat i phone is really awesome,5,5,Positive"
"7 months ago,Simply awesome,Awesome experience 😃,5,5,Positive"
"""Oct, 2022"",Wonderful,Ok,5,5,Positive"
"""Oct, 2022"",Terrific purchase,Superbb,5,5,Positive"
"7 months ago,Awesome,Handsome and 👌 very good 👍 iphone 13,5,5,Positive"
"7 months ago,Mind-blowing purchase,Product was very good with good condition and packing was also too good .Thanks you so much for deliver me good product,5,3,Positive"
"""Dec, 2022"",Terrific purchase,Osm phone,5,5,Positive"
"7 months ago,Must buy!,Recommended for photo graphy,5,5,Positive"
"7 months ago,Mind-blowing purchase,Fantastic product,5,5,Positive"
"7 months ago,Fabulous!,Speechless bro,5,5,Positive"
"8 months ago,Wonderful,Just good,4,5,Positive"
"8 months ago,Brilliant,One of the best phones in market without a doubt.,5,5,Positive"
"""Oct, 2022"",Excellent,super eb very good and nice looking,5,5,Positive"
"8 months ago,Good choice,Battery life to be improved,4,5,Positive"
"8 months ago,Best in the market!,Awesome experience with Apple,5,5,Positive"
"8 months ago,Terrific,Good phone,5,5,Positive"
"8 months ago,Classy product,Good phone and very smart and great dilivery,5,5,Positive"
"8 months ago,Terrific,Great smartphone in the market,5,5,Positive"
"8 months ago,Nice product,Good,4,4,Positive"
"8 months ago,Mind-blowing purchase,""At this cost, Apple should consider night shoot should not go pixelated. Over all this product is good and have better battery life compared to older variant. Loved the display. Should go for it."",5,3,Positive"
"8 months ago,Just okay,Nice,3,3,Positive"
"8 months ago,Must buy!,Value for money.Superb,5,5,Positive"
"8 months ago,Fine as it seems!,No issue found yet. Hassle free delivery and good secure packaging. Go for it.,5,4,Positive"
"8 months ago,Terrific purchase,Best camera and performance with average battery,5,5,Positive"
"8 months ago,Terrific purchase,Best,5,5,Positive"
"8 months ago,Terrific,Gud product,5,5,Positive"
"""Oct, 2022"",Best in the market!,Good,5,5,Positive"
"8 months ago,Perfect product!,Awesome product superb environment of IOS,5,5,Positive"
"8 months ago,Classy product,Very nice and beautiful ❤️❤️❤️❤️❤️,5,5,Positive"
"8 months ago,Great product,Lovely phone thanks Flipkart very fast delivery 🥰🥰,5,5,Positive"
"8 months ago,Great product,BESTEST MOBILE PHONE IN THIS RANGE,5,5,Positive"
"""Oct, 2022"",Nice product,Good at this price,4,4,Positive"
"8 months ago,Great product,Superb phone 🫡🫡🫡,5,5,Positive"
"""Oct, 2022"",Mind-blowing purchase,Amazing,5,5,Positive"
"8 months ago,Simply awesome,Awesome,5,5,Positive"
"8 months ago,Value-for-money,Product is great no doubt. Worst experience from flipkart delivery.,4,5,Positive"
"8 months ago,Classy product,good product,5,4,Positive"
"8 months ago,Pretty good,great,4,4,Positive"
"""Sep, 2022"",Perfect product!,What a deal thanks to flipkart on time delivery,5,5,Positive"
"8 months ago,Brilliant,Writing this review after using Iphone 13 fro 1 month.Design : Top🔥✅Camera: Amazing😍Performance : OutstandingDisplay : Crystal clear😘Battery : Not bad🤥Overall review : Worth of every penny✅,5,5,Positive"
"8 months ago,Nice product,Best phone as I am new to ios still best among all,4,5,Positive"
"8 months ago,Just wow!,The delivery boy was so pleasant he was realy very good,5,5,Positive"
"""Oct, 2022"",Simply awesome,Excellent amazing mind blowing 👌👌😍😍🥰,5,5,Positive"
"8 months ago,Worth every penny,Nice 👍,5,5,Positive"
"8 months ago,Fabulous!,Excellent,5,5,Positive"
"8 months ago,Value-for-money,Nice products,4,5,Positive"
"8 months ago,Moderate,Just okay to use,1,3,Positive"
"8 months ago,Terrific purchase,Camera quality is outstanding superb excellent everything. And the phone is best in every prospective design performance battery each and every department is outstanding,5,5,Positive"
"8 months ago,Just wow!,Great flip kart really awesome service and mobile ❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️❣️love oneReally great performance and decent photos captured by i phone,5,5,Positive"
"8 months ago,Value-for-money,""This is my 1st iphone, compared to android ISO has few advantages, phone performance was good, display-4Battery-3Performance-4Camera-4Note:Touch was not working sometimes"",4,3,Positive"
"8 months ago,Best in the market!,Best phone for me and performance is also next level,5,5,Positive"
"8 months ago,Wonderful,Good,5,5,Positive"
"8 months ago,Terrific purchase,You look at better.sure buying this phone.This is the value worth phone.,5,5,Positive"
"8 months ago,Best in the market!,Beautiful mobile with excellent performance,5,5,Positive"
"8 months ago,Terrific,i had iphone 11 and sold it by 21k after 2.5yrs of usage.iphone 13 is really awesome..i love this blue colour..go for it without second thought..flipkart gives amazing offers to attract 😊😊😊😊,5,5,Positive"
"8 months ago,Very Good,Good,4,5,Positive"
"8 months ago,Must buy!,No comments everyone knw how is it 😅😊,5,5,Neutral"
"8 months ago,Super!,Very nice,5,5,Positive"
"8 months ago,Excellent,This is one of the most handy techy phone till date,5,5,Positive"
"""Oct, 2022"",Fabulous!,Product and color is very good n before time Delivery packaging also good. Open box delivery was good,5,5,Positive"
"8 months ago,Must buy!,Good product,5,5,Positive"
"""Oct, 2022"",Terrific,Best experience,5,5,Positive"
"8 months ago,Mind-blowing purchase,Wow so good,5,5,Positive"
"8 months ago,Best in the market!,Very nice product with quality maintained,5,5,Positive"
"8 months ago,Mind-blowing purchase,Amazing bettery backup.camera also good.looks could be more pretty but its ok cause its apple ofcourse and it is classy indeed.,5,4,Positive"
"8 months ago,Fabulous!,Awesome product,5,5,Positive"
"8 months ago,Useless product,Too much heating,1,1,Negative"
"8 months ago,Excellent,Best price,5,5,Positive"
"8 months ago,Awesome,Good,5,5,Positive"
"8 months ago,Awesome,Nice product o,5,5,Positive"
"""Oct, 2022"",Terrific,Superb,5,5,Positive"
"8 months ago,Wonderful,Very very good phone i am happy,5,5,Positive"
"8 months ago,Terrific purchase,Full with energy iPhone is Love Go for it in 2023 even in 2024 This will never regret to buyIt's performance after 2 years will be same as 2022,5,5,Positive"
"8 months ago,Does the job,The phone is ok but the Lightning Cable is'nt working just after a few weeks.,3,3,Positive"
"8 months ago,Fabulous!,Best phone,5,5,Positive"
"8 months ago,Fabulous!,Superb.,5,5,Positive"
"8 months ago,Really Nice,Good,4,5,Positive"
"""Oct, 2022"",Must buy!,Awsome,5,5,Positive"
"""Oct, 2022"",Terrific purchase,Very good phone and amazing price at flipkart,5,5,Positive"
"8 months ago,Nice product,Good,4,4,Positive"
"8 months ago,Must buy!,Amazing device i ever used,5,5,Positive"
"8 months ago,Excellent,Nice,5,5,Positive"
"8 months ago,Awesome,product is good,5,5,Positive"
"""Oct, 2022"",Must buy!,Superb phone,5,5,Positive"
"8 months ago,Brilliant,Super best buy,5,5,Positive"
"8 months ago,Very Good,Excellent,4,5,Positive"
"""Oct, 2022"",Mind-blowing purchase,""Review after 3 months of use. Everything is fabulous Battery, Display, Camera, Performance etc are not explain easily you feel the goodness of iPhone by using it."",5,5,Positive"
"8 months ago,Super!,Excellent,5,5,Positive"
"8 months ago,Highly recommended,Superb Quality...,5,5,Positive"
"""Oct, 2022"",Classy product,Ok,5,4,Positive"
"8 months ago,Very Good,Amazing always,4,5,Positive"
"8 months ago,Classy product,Good one,5,4,Positive"
"8 months ago,Mind-blowing purchase,Nice,5,5,Positive"
"8 months ago,Best in the market!,Awesome product,5,5,Positive"
"8 months ago,Awesome,Good,5,5,Positive"
"""Oct, 2022"",Terrific purchase,Its good to be have this phone. Battery life is very greatful. Performance is good.,5,5,Positive"
"8 months ago,Good quality product,Very good,4,5,Positive"
"8 months ago,Wonderful,No doubt in iPhone,4,5,Positive"
"8 months ago,Terrific,Amazing,5,5,Positive"
"8 months ago,Good quality product,Good,4,4,Positive"
"8 months ago,Terrific purchase,First time we purchase and I like this phoneI love iphone,5,5,Positive"
"""Oct, 2022"",Excellent,""Great phone with great performance. Only concern is the Audio quality. There is no internal DAC available and you cannot stream hi resolution audio via lightning to 3.5mm adapter. Old iPhones with 3.5mm sounds much better than current ones. For the cost you pay for phone, company should have given all accessories. However being apple, you are not given that choice and need to buy all separately."",5,4,Positive"
"8 months ago,Super!,Best 13 is the best. I don't use camera at all so this is the best.,5,5,Positive"
"8 months ago,Delightful,Worth it,4,5,Positive"
"""Oct, 2022"",Terrific,good,5,5,Positive"
"8 months ago,Fabulous!,""Awsome performance, good camera"",5,5,Positive"
"8 months ago,Terrific,No words to explain five star,5,5,Negative"
"8 months ago,Awesome,Over all excellent. GOR FOR IT😁,5,5,Positive"
"8 months ago,Perfect product!,Nice phone,5,5,Positive"
"8 months ago,Fabulous!,Best option to buy when It comes to 14 or 13,5,5,Positive"
"8 months ago,Very Good,Good product,4,5,Positive"
"8 months ago,Simply awesome,Good experience FlipkartiPhone is awesome mobile,5,5,Positive"
"8 months ago,Best in the market!,Delivery boy is very nice personThank FlipkartiPhone 13 is awesome mobile,5,5,Positive"
"""Oct, 2022"",Worthless,Display vibration sometimes ☹️☹️,1,1,Positive"
"""Oct, 2022"",Decent product,Incredible,3,4,Positive"
"8 months ago,Terrific,Best quality,5,5,Positive"
"8 months ago,Wonderful,Great 😃,5,5,Positive"
"8 months ago,Wonderful,Value for money.go for it.,5,5,Positive"
"9 months ago,Great product,Supar best💯,5,5,Positive"
"9 months ago,Classy product,Nice,5,5,Positive"
"9 months ago,Must buy!,Good,5,5,Positive"
"9 months ago,Worth every penny,Nice,5,5,Positive"
"9 months ago,Highly recommended,Nice,5,5,Positive"
"9 months ago,Worth every penny,Nice,5,5,Positive"
"9 months ago,Excellent,Awesome phone to use better than previous iPhone in terms of battery and performance.,5,5,Positive"
"9 months ago,Highly recommended,Awesome,5,5,Positive"
"""Oct, 2022"",Brilliant,Very nice,5,5,Positive"
"9 months ago,Great product,Mind boggling device and got it on big billion day sale. Thanks Flipkart.,5,5,Positive"
"9 months ago,Highly recommended,Perfect,5,5,Positive"
"9 months ago,Worth every penny,For me IPhone is a King.,5,5,Positive"
